MovieID,Title,Genre,ReleaseYear,Language,Rating,RecommendationType,RecommendedFor,Status,Description
MV-001,Inception,Sci-Fi,2010,English,8.8,AI Recommendation,Student,Available,A mind-bending science fiction thriller.
MV-002,Interstellar,Sci-Fi,2014,English,8.7,Trending,Movie Enthusiast,Available,A space exploration film about humanity's survival.
MV-003,Parasite,Thriller,2019,Korean,8.5,Popular,General User,Available,Academy Award winning thriller with social commentary.
MV-004,Your Name,Animation,2016,Japanese,8.4,AI Recommendation,Anime Fan,Available,A romantic fantasy anime film.
MV-005,The Dark Knight,Action,2008,English,9.0,Top Rated,Action Fan,Available,Batman faces the Joker.
MV-006,Avengers Endgame,Action,2019,English,8.4,Trending,Marvel Fan,Available,The epic conclusion of the Infinity Saga.
MV-007,Spirited Away,Animation,2001,Japanese,8.6,AI Recommendation,Family,Available,A Studio Ghibli masterpiece.
MV-008,La La Land,Romance,2016,English,8.0,Popular,Romance Fan,Available,A musical romance about dreams.
MV-009,Everything Everywhere All at Once,Sci-Fi,2022,English,7.8,AI Recommendation,General User,Available,A multiverse adventure blending action comedy and drama.
MV-010,Dune,Sci-Fi,2021,English,8.0,Trending,Sci-Fi Fan,Available,A visually stunning science fiction film.
MV-011,Coco,Animation,2017,English,8.4,Family Pick,Family,Available,A heartwarming Pixar adventure.
MV-012,John Wick,Action,2014,English,7.4,Popular,Action Fan,Available,A retired assassin seeks revenge.
